square_id,internet
1,92992.664
2,93368.4
3,93768.336
4,91904.375
5,83630.695
6,93768.336
7,93768.336
8,93768.336
9,93768.336
10,56177.723
11,29643.676
12,21867.785
13,13538.534
14,21478.096
15,22429.402
16,26981.521
17,32421.145
18,32421.17
19,32423.486
20,32424.477
21,32434.814
22,32448.545
23,34524.617
24,49538.24
25,49966.582
26,49966.582
27,53278.19
28,59318.44
29,65193.887
30,67584.76
31,68078.01
32,75161.89
33,82038.77
34,75300.43
35,65535.64
36,65535.64
37,65535.64
38,65535.64
39,70391.54
40,69457.31
41,82846.82
42,88116.625
43,139849.34
44,201322.39
45,201322.39
46,201322.39
47,852823.3
48,1.252877e+06
49,434177.66
50,123587.94
51,104067.555
52,107600.54
53,103821.22
54,115980.54
55,126017.17
56,107975.5
57,88677.85
58,90094.83
59,85229.42
60,76316.516
61,54153.695
62,54153.695
63,55828.895
64,82645.97
65,124087.61
66,125731.46
67,136705.94
68,172437.23
69,141099.31
70,98104.18
71,92244.21
72,105715.53
73,121999.03
74,122575.53
75,122623.414
76,122623.414
77,122623.414
78,122623.414
79,122623.414
80,110143.06
81,65974.45
82,28057.12
83,27362.047
84,27362.047
85,27362.047
86,31754.863
87,43951.05
88,45314.14
89,45314.14
90,45314.14
91,47715.434
92,51098.348
93,72861.664
94,120997.56
95,120997.56
96,120997.56
97,120997.56
98,121044.45
99,120997.56
100,120992.94
101,93173.625
102,83665.58
103,93768.336
104,93768.336
105,93768.336
106,93768.336
107,93768.336
108,93768.336
109,93768.336
110,55906.457
111,32752.324
112,3479.243
113,13242.851
114,22780.672
115,24853.621
116,31961.398
117,32421.098
118,32421.098
119,32421.098
120,32421.098
121,32421.764
122,32444.959
123,39813.188
124,49739.8
125,54138.566
126,57988.367
127,62847.04
128,67910.266
129,68078.01
130,68078.01
131,72710.31
132,70479.49
133,64948.19
134,63137.812
135,66291.02
136,65538.16
137,65523.625
138,65534.023
139,65535.64
140,72029.445
141,87677.59
142,90580.64
143,91121.336
144,117841.89
145,138582.1
146,553446.4
147,1.5972859e+06
148,611662.2
149,252692.52
150,243290.25
151,189784.28
152,187455.08
153,191997.22
154,205163.6
155,203773.3
156,153961.8
157,81521.62
158,88349.45
159,77989.984
160,77908.55
161,60495.348
162,54153.695
163,54153.695
164,71030.2
165,129546.125
166,135243.64
167,151085.0
168,176172.7
169,176139.33
170,162827.88
171,124112.05
172,122514.805
173,122558.13
174,123731.945
175,122623.414
176,122623.414
177,122623.414
178,122623.42
179,122623.414
180,117326.82
181,59723.75
182,27269.203
183,27362.047
184,27362.047
185,27362.047
186,36841.53
187,43972.996
188,50544.65
189,38392.61
190,38527.87
191,51076.188
192,51098.348
193,51439.67
194,92898.41
195,120997.56
196,120997.56
197,120997.56
198,120997.56
199,120997.56
200,120998.41
201,93525.57
202,90037.26
203,93769.05
204,93768.336
205,93772.87
206,93768.336
207,93768.336
208,93768.336
209,93768.336
210,70283.234
211,33486.57
212,26864.469
213,25173.738
214,23109.934
215,31172.88
216,32421.098
217,32421.098
218,32421.098
219,32421.098
220,32421.098
221,33559.473
222,38081.086
223,55010.63
224,58213.71
225,59697.426
226,61117.3
227,67416.04
228,68078.01
229,68078.01
230,68078.01
231,68097.664
232,73529.15
233,68052.336
234,68056.56
235,68061.0
236,67145.42
237,65735.57
238,72223.89
239,103378.305
240,141394.22
241,151325.16
242,108265.07
243,86085.57
244,90580.64
245,94368.66
246,694912.4
247,1.00253225e+06
248,222357.34
249,297631.8
250,300835.53
251,260828.58
252,193240.38
253,221806.73
254,216997.33
255,205147.88
256,164211.61
257,79720.7
258,82021.57
259,77774.01
260,77994.836
261,76724.1
262,57804.707
263,54153.695
264,97163.695
265,135166.84
266,135166.84
267,150744.42
268,177117.89
269,185784.28
270,191017.75
271,159308.89
272,123653.91
273,122623.35
274,122623.414
275,122623.414
276,122623.414
277,121114.875
278,122623.414
279,122623.414
280,104790.016
281,49899.984
282,27362.047
283,27362.047
284,27362.047
285,38154.18
286,67317.32
287,32413.154
288,30886.92
289,41465.945
290,28885.285
291,37646.637
292,51013.34
293,51098.348
294,57063.598
295,110975.0
296,120997.56
297,120997.56
298,120997.56
299,121005.5
300,121089.836
301,82411.25
302,89286.46
303,91941.4
304,94462.945
305,94904.65
306,94357.66
307,93933.875
308,93790.78
309,93768.336
310,87819.01
311,42488.117
312,35291.0
313,35567.85
314,33114.066
315,33837.258
316,32548.018
317,32421.098
318,33148.426
319,35103.918
320,37936.516
321,41555.645
322,51542.96
323,59679.24
324,59739.81
325,62982.074
326,67959.695
327,68078.01
328,68078.01
329,68078.01
330,68078.01
331,68073.78
332,68062.31
333,68050.56
334,68055.375
335,68069.41
336,68064.56
337,104710.22
338,169629.52
339,175978.06
340,164743.88
341,176182.69
342,161847.69
343,109578.63
344,99300.27
345,140371.12
346,526703.75
347,893693.2
348,288666.22
349,299921.0
350,296787.62
351,254283.2
352,211875.58
353,218250.4
354,206792.97
355,205147.88
356,182037.14
357,145753.86
358,86571.15
359,81299.234
360,88360.01
361,85443.03
362,78980.875
363,56694.426
364,113412.94
365,135166.84
366,137591.53
367,155684.56
368,191542.27
369,197252.0
370,197252.0
371,165246.36
372,132453.72
373,122609.516
374,122623.414
375,122623.414
376,122617.016
377,70281.09
378,122623.414
379,122012.11
380,98102.375
381,33408.758
382,27362.047
383,30312.85
384,50982.65
385,77183.234
386,38378.72
387,29844.469
388,33136.637
389,56842.094
390,29564.12
391,29152.973
392,38245.582
393,50516.906
394,50639.945
395,56024.285
396,118944.11
397,119192.06
398,115769.15
399,101625.05
400,85372.734
401,37741.594
402,52960.44
403,67289.53
